orderId,orderDate,userId,totalCharges,commonId,pupId,pickupDate,orderYear,orderMonth,orderDay,purchaseOccasion,orderPeriod,orderQuarter,cohortMonthly,cohortQuarterly
262,2009-01-11T00:00:00Z,47,50.67,TRQKD,2,2009-01-12T00:00:00Z,2009,1,11,1,1,1,1,1
278,2009-01-20T00:00:00Z,47,26.6,4HH2S,3,2009-01-20T00:00:00Z,2009,1,20,2,1,1,1,1
294,2009-02-03T00:00:00Z,47,38.71,3TRDC,2,2009-02-04T00:00:00Z,2009,2,3,3,2,1,1,1
301,2009-02-06T00:00:00Z,47,53.38,NGAZJ,2,2009-02-09T00:00:00Z,2009,2,6,4,2,1,1,1
302,2009-02-06T00:00:00Z,47,14.28,FFYHD,2,2009-02-09T00:00:00Z,2009,2,6,5,2,1,1,1
321,2009-02-17T00:00:00Z,47,29.5,HA5R3,3,2009-02-17T00:00:00Z,2009,2,17,6,2,1,1,1
333,2009-02-23T00:00:00Z,47,18.91,RSXQG,2,2009-02-23T00:00:00Z,2009,2,23,7,2,1,1,1
341,2009-03-01T00:00:00Z,47,64.41,KHBDJ,3,2009-03-03T00:00:00Z,2009,3,1,8,3,1,1,1
353,2009-03-09T00:00:00Z,47,18.03,T7SUN,3,2009-03-10T00:00:00Z,2009,3,9,9,3,1,1,1
373,2009-03-17T00:00:00Z,47,25.55,KMF5X,3,2009-03-17T00:00:00Z,2009,3,17,10,3,1,1,1
376,2009-03-17T00:00:00Z,47,13.64,R57V3,3,2009-03-19T00:00:00Z,2009,3,17,11,3,1,1,1
386,2009-03-24T00:00:00Z,47,47.83,CSH73,3,2009-03-24T00:00:00Z,2009,3,24,12,3,1,1,1
398,2009-03-31T00:00:00Z,47,42.14,3VYSW,3,2009-03-31T00:00:00Z,2009,3,31,13,3,1,1,1
431,2009-04-14T00:00:00Z,47,21.73,XG5NT,3,2009-04-14T00:00:00Z,2009,4,14,14,4,2,1,1
441,2009-04-16T00:00:00Z,47,21.73,JKME3,3,2009-04-16T00:00:00Z,2009,4,16,15,4,2,1,1
467,2009-04-23T00:00:00Z,47,17.97,WVGR5,3,2009-04-23T00:00:00Z,2009,4,23,16,4,2,1,1
493,2009-04-28T00:00:00Z,47,28.85,ARYQJ,3,2009-04-28T00:00:00Z,2009,4,28,17,4,2,1,1
494,2009-04-28T00:00:00Z,47,7.15,QAM9C,3,2009-04-28T00:00:00Z,2009,4,28,18,4,2,1,1
517,2009-05-01T00:00:00Z,47,57.75,CGHAJ,5,2009-05-01T00:00:00Z,2009,5,1,19,5,2,1,1
525,2009-05-04T00:00:00Z,47,40.98,MCDJE,3,2009-05-05T00:00:00Z,2009,5,4,20,5,2,1,1
567,2009-05-12T00:00:00Z,47,14.93,NPVQQ,3,2009-05-14T00:00:00Z,2009,5,12,21,5,2,1,1
575,2009-05-14T00:00:00Z,47,14.32,2T727,3,2009-05-14T00:00:00Z,2009,5,14,22,5,2,1,1
598,2009-05-19T00:00:00Z,47,40.76,ZNDAZ,3,2009-05-19T00:00:00Z,2009,5,19,23,5,2,1,1
635,2009-05-26T00:00:00Z,47,83.41,V8TCD,3,2009-05-26T00:00:00Z,2009,5,26,24,5,2,1,1
664,2009-06-01T00:00:00Z,47,47.39,N2MN4,3,2009-06-02T00:00:00Z,2009,6,1,25,6,2,1,1
688,2009-06-05T00:00:00Z,47,16.76,SQ7AG,5,2009-06-05T00:00:00Z,2009,6,5,26,6,2,1,1
720,2009-06-12T00:00:00Z,47,26.71,VVJMZ,3,2009-06-16T00:00:00Z,2009,6,12,27,6,2,1,1
732,2009-06-16T00:00:00Z,47,18.66,NHPKJ,3,2009-06-16T00:00:00Z,2009,6,16,28,6,2,1,1
775,2009-06-23T00:00:00Z,47,46.65,YGFQ6,4,2009-06-23T00:00:00Z,2009,6,23,29,6,2,1,1
828,2009-07-02T00:00:00Z,47,20.27,XJMBR,6,2009-07-02T00:00:00Z,2009,7,2,30,7,3,1,1
838,2009-07-06T00:00:00Z,47,44.88,J23JH,3,2009-07-07T00:00:00Z,2009,7,6,31,7,3,1,1
848,2009-07-08T00:00:00Z,47,17.61,%%848,6,2009-07-09T00:00:00Z,2009,7,8,32,7,3,1,1
878,2009-07-13T00:00:00Z,47,23.15,VLQ77,3,2009-07-14T00:00:00Z,2009,7,13,33,7,3,1,1
916,2009-07-19T00:00:00Z,47,71.09,F72ZW,4,2009-07-21T00:00:00Z,2009,7,19,34,7,3,1,1
947,2009-07-24T00:00:00Z,47,50.66,3TP9K,5,2009-07-24T00:00:00Z,2009,7,24,35,7,3,1,1
978,2009-07-30T00:00:00Z,47,69.11,DBZ6E,4,2009-07-30T00:00:00Z,2009,7,30,36,7,3,1,1
979,2009-07-30T00:00:00Z,47,41,58SYL,4,2009-07-30T00:00:00Z,2009,7,30,37,7,3,1,1
1033,2009-08-10T00:00:00Z,47,51.42,CM6L8,4,2009-08-11T00:00:00Z,2009,8,10,38,8,3,1,1
1034,2009-08-10T00:00:00Z,47,14.76,HVXWJ,4,2009-08-11T00:00:00Z,2009,8,10,39,8,3,1,1
1037,2009-08-10T00:00:00Z,47,15.64,AEBZD,4,2009-08-11T00:00:00Z,2009,8,10,40,8,3,1,1
1075,2009-08-18T00:00:00Z,47,12.9555,JHBNK,4,2009-08-18T00:00:00Z,2009,8,18,41,8,3,1,1
1111,2009-08-25T00:00:00Z,47,50.29,2GGH5,4,2009-08-25T00:00:00Z,2009,8,25,42,8,3,1,1
1112,2009-08-25T00:00:00Z,47,4.09,NLKBN,4,2009-08-25T00:00:00Z,2009,8,25,43,8,3,1,1
1119,2009-08-25T00:00:00Z,47,3.08,9N4VG,4,2009-08-25T00:00:00Z,2009,8,25,44,8,3,1,1
1152,2009-08-28T00:00:00Z,47,66.25,ZZU7D,5,2009-08-28T00:00:00Z,2009,8,28,45,8,3,1,1
1154,2009-08-28T00:00:00Z,47,7.56,2JMWF,5,2009-08-28T00:00:00Z,2009,8,28,46,8,3,1,1
1168,2009-09-02T00:00:00Z,47,70.1302,6NXDE,4,2009-09-03T00:00:00Z,2009,9,2,47,9,3,1,1
1179,2009-09-03T00:00:00Z,47,12.27,6APEY,6,2009-09-03T00:00:00Z,2009,9,3,48,9,3,1,1
1197,2009-09-07T00:00:00Z,47,106.89,AAN8Z,4,2009-09-08T00:00:00Z,2009,9,7,49,9,3,1,1
1262,2009-09-17T00:00:00Z,47,92.51,4FMPS,5,2009-09-18T00:00:00Z,2009,9,17,50,9,3,1,1
1279,2009-09-21T00:00:00Z,47,40.125,3VX2D,4,2009-09-24T00:00:00Z,2009,9,21,51,9,3,1,1
1333,2009-09-29T00:00:00Z,47,61.74,CWNDD,4,2009-10-01T00:00:00Z,2009,9,29,52,9,3,1,1
1363,2009-10-05T00:00:00Z,47,51.78,HR52A,4,2009-10-06T00:00:00Z,2009,10,5,53,10,4,1,1
1400,2009-10-11T00:00:00Z,47,3.74,J3C69,3,2009-10-13T00:00:00Z,2009,10,11,54,10,4,1,1
1466,2009-10-20T00:00:00Z,47,40.11,ND8EH,4,2009-10-20T00:00:00Z,2009,10,20,55,10,4,1,1
1525,2009-10-26T00:00:00Z,47,45.4838,MG664,4,2009-10-27T00:00:00Z,2009,10,26,56,10,4,1,1
1614,2009-11-05T00:00:00Z,47,41.78,BPM84,4,2009-11-05T00:00:00Z,2009,11,5,57,11,4,1,1
1740,2009-11-12T00:00:00Z,47,23.1,C39Z5,4,2009-11-12T00:00:00Z,2009,11,12,58,11,4,1,1
1803,2009-11-17T00:00:00Z,47,48.25,UX8D5,4,2009-11-18T00:00:00Z,2009,11,17,59,11,4,1,1
1813,2009-11-18T00:00:00Z,47,5,AVRXH,4,2009-11-18T00:00:00Z,2009,11,18,60,11,4,1,1
1888,2009-11-29T00:00:00Z,47,60.14,FVLDA,4,2009-11-30T00:00:00Z,2009,11,29,61,11,4,1,1
1950,2009-12-06T00:00:00Z,47,70.72,5K5WS,4,2009-12-07T00:00:00Z,2009,12,6,62,12,4,1,1
2049,2009-12-14T00:00:00Z,47,172.534,HRKLH,4,2009-12-15T00:00:00Z,2009,12,14,63,12,4,1,1
2191,2010-01-03T00:00:00Z,47,62.3497,KWXTB,4,2010-01-04T00:00:00Z,2010,1,3,64,13,5,1,1
2204,2010-01-04T00:00:00Z,47,18.39,W3T85,4,2010-01-04T00:00:00Z,2010,1,4,65,13,5,1,1
2451,2010-01-24T00:00:00Z,47,52.0292,Y65RC,18,2010-01-25T00:00:00Z,2010,1,24,66,13,5,1,1
2579,2010-01-31T00:00:00Z,47,47.6325,J5QKP,18,2010-02-01T00:00:00Z,2010,1,31,67,13,5,1,1
2580,2010-01-31T00:00:00Z,47,23.629,GACF2,18,2010-02-01T00:00:00Z,2010,1,31,68,13,5,1,1
2593,2010-02-01T00:00:00Z,47,6.638,PKE4X,18,2010-02-01T00:00:00Z,2010,2,1,69,14,5,1,1
2873,2010-02-16T00:00:00Z,47,79.9095,G8QYA,9,2010-02-17T00:00:00Z,2010,2,16,70,14,5,1,1
2953,2010-02-22T00:00:00Z,47,51.15,CC6TG,18,2010-02-22T00:00:00Z,2010,2,22,71,14,5,1,1
2997,2010-02-23T00:00:00Z,47,27.97,ZCSXX,15,2010-02-26T00:00:00Z,2010,2,23,72,14,5,1,1
3037,2010-02-25T00:00:00Z,47,15.5025,HG86F,15,2010-02-26T00:00:00Z,2010,2,25,73,14,5,1,1
3082,2010-03-01T00:00:00Z,47,48.152,P98FG,18,2010-03-01T00:00:00Z,2010,3,1,74,15,5,1,1
3109,2010-03-02T00:00:00Z,47,34.13,4PFP8,3,2010-03-02T00:00:00Z,2010,3,2,75,15,5,1,1
3178,2010-03-05T00:00:00Z,47,7.22,GWR53,15,2010-03-05T00:00:00Z,2010,3,5,76,15,5,1,1
360,2009-03-10T00:00:00Z,95,7.47,FTM95,3,2009-03-10T00:00:00Z,2009,3,10,1,3,1,3,1
414,2009-04-07T00:00:00Z,95,3.68,ARQ3F,3,2009-04-09T00:00:00Z,2009,4,7,2,4,2,3,1
292,2009-01-29T00:00:00Z,98,16.96,ZLNHR,3,2009-01-29T00:00:00Z,2009,1,29,1,1,1,1,1
316,2009-02-16T00:00:00Z,98,6.74,GYTPJ,2,2009-02-16T00:00:00Z,2009,2,16,2,2,1,1,1
344,2009-03-03T00:00:00Z,98,3.68,FUUH8,2,2009-03-04T00:00:00Z,2009,3,3,3,3,1,1,1
375,2009-03-17T00:00:00Z,98,4.09,N88FP,3,2009-03-24T00:00:00Z,2009,3,17,4,3,1,1,1
377,2009-03-18T00:00:00Z,98,3.59,C6T6S,3,2009-03-19T00:00:00Z,2009,3,18,5,3,1,1,1
378,2009-03-18T00:00:00Z,98,3.59,E745K,3,2009-03-19T00:00:00Z,2009,3,18,6,3,1,1,1
403,2009-04-01T00:00:00Z,98,2.03,SU6DX,3,2009-04-02T00:00:00Z,2009,4,1,7,4,2,1,1
421,2009-04-10T00:00:00Z,98,3.59,X5ZJG,3,2009-04-16T00:00:00Z,2009,4,10,8,4,2,1,1
422,2009-04-10T00:00:00Z,98,5.11,D2CJG,5,2009-04-17T00:00:00Z,2009,4,10,9,4,2,1,1
527,2009-05-05T00:00:00Z,98,3.59,%%527,3,2009-05-05T00:00:00Z,2009,5,5,10,5,2,1,1
